Objects
100
,,Global Angle drone1:drone1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
189,0,-0.043677,-0.001594,1.516577,-607.517761,-1522.036255,65.094543
190,0,-0.043788,-0.001736,1.516317,-607.486694,-1521.996582,65.137291
191,0,-0.044875,-0.002583,1.516584,-607.501526,-1522.030640,65.101822
192,0,-0.043666,-0.000916,1.516672,-607.514587,-1522.036011,65.085197
193,0,-0.044326,-0.002146,1.516726,-607.520386,-1522.037842,65.105125
194,0,-0.044338,-0.001813,1.517039,-607.538635,-1522.066895,65.055260
195,0,-0.043559,-0.001558,1.516480,-607.511780,-1522.029175,65.121986
196,0,-0.042881,-0.000369,1.516560,-607.503662,-1522.020630,65.103790
197,0,-0.043949,-0.001567,1.516590,-607.515686,-1522.033325,65.112434
198,0,-0.043015,-0.001008,1.516147,-607.498535,-1522.017700,65.119919
199,0,-0.043299,-0.001182,1.516238,-607.477295,-1522.013550,65.137878
200,0,-0.043252,-0.000794,1.516481,-607.507629,-1522.017456,65.100357
201,0,-0.043487,-0.001507,1.516140,-607.507080,-1522.036865,65.102631
202,0,-0.043439,-0.000756,1.516350,-607.503906,-1522.046387,65.093475
203,0,-0.043912,-0.001384,1.516592,-607.507751,-1522.044800,65.084930
204,0,-0.045058,-0.002498,1.516781,-607.490540,-1522.031128,65.111732
205,0,-0.043876,-0.001660,1.516565,-607.519775,-1522.046021,65.092064
206,0,-0.044644,-0.001738,1.516935,-607.527039,-1522.042725,65.089264
207,0,-0.043970,-0.001776,1.516356,-607.488892,-1522.018066,65.133102
208,0,-0.044143,-0.001663,1.516878,-607.511475,-1522.017090,65.113380
209,0,-0.044047,-0.001853,1.516844,-607.514282,-1522.026733,65.100830
210,0,-0.044596,-0.001896,1.516432,-607.504456,-1522.038818,65.093193
211,0,-0.043477,-0.001334,1.516372,-607.521240,-1522.042236,65.087044
212,0,-0.044448,-0.001875,1.516798,-607.498779,-1522.017456,65.100937
213,0,-0.043244,-0.001117,1.516107,-607.491028,-1522.028564,65.101067
214,0,-0.044396,-0.001553,1.517068,-607.504944,-1522.021851,65.100639
215,0,-0.044047,-0.001713,1.516354,-607.507080,-1522.031616,65.120583
216,0,-0.043654,-0.001138,1.516804,-607.509766,-1522.025269,65.104065
217,0,-0.043899,-0.001481,1.516694,-607.511841,-1522.031128,65.102348
218,0,-0.042433,-0.000476,1.516812,-607.505493,-1522.021362,65.124626
219,0,-0.043615,-0.001442,1.516634,-607.520386,-1522.047974,65.098427
220,0,-0.044032,-0.001941,1.516775,-607.521545,-1522.040527,65.093979
221,0,-0.043381,-0.001387,1.516668,-607.499695,-1522.025635,65.112099
222,0,-0.044251,-0.002117,1.516662,-607.505188,-1522.013550,65.112885
223,0,-0.044944,-0.005074,1.516365,-607.459351,-1521.996460,65.126434
224,0,-0.042615,-0.000866,1.516194,-607.484680,-1522.009277,65.125534
225,0,-0.043418,-0.001674,1.516351,-607.463196,-1521.992676,65.160820
226,0,-0.043761,-0.001726,1.516576,-607.505432,-1522.024536,65.120621
227,0,-0.043540,-0.000915,1.516510,-607.498840,-1522.031128,65.094093
228,0,-0.044240,-0.001786,1.516291,-607.509399,-1522.056641,65.080421
229,0,-0.043359,-0.001820,1.516269,-607.461975,-1522.021851,65.126434
230,0,-0.044111,-0.001758,1.516415,-607.484863,-1522.029785,65.109734
231,0,-0.043096,-0.000822,1.516727,-607.506714,-1522.021606,65.106812
232,0,-0.043032,-0.001528,1.516279,-607.490540,-1522.024170,65.120575
233,0,-0.043726,-0.001277,1.516715,-607.503967,-1522.018677,65.121330
234,0,-0.043868,-0.001256,1.516541,-607.481384,-1522.008179,65.134247
235,0,-0.043016,-0.000720,1.516353,-607.499756,-1522.017090,65.117409
236,0,-0.044334,-0.002236,1.516157,-607.509033,-1522.022095,65.116074
237,0,-0.044986,-0.002758,1.516677,-607.539856,-1522.066162,65.076271
238,0,-0.044306,-0.001926,1.516455,-607.529663,-1522.052002,65.079315
239,0,-0.044715,-0.001545,1.516719,-607.491150,-1522.019043,65.111794
240,0,-0.043543,-0.001199,1.516753,-607.510803,-1522.032715,65.093201
241,0,-0.044526,-0.001966,1.516938,-607.523193,-1522.038696,65.087044
242,0,-0.043436,-0.001305,1.516301,-607.542664,-1522.061523,65.078598
243,0,-0.043585,-0.001475,1.516156,-607.507080,-1522.036255,65.106216
244,0,-0.044033,-0.001666,1.516508,-607.491699,-1522.019897,65.116554
